project_id,project_name,sector,ministry,state,district,implementing_agency,sanctioned_cost,revised_cost,actual_expenditure,sanctioned_duration,actual_duration,start_date,expected_end_date,revised_end_date,physical_progress,financial_progress,contractor_name,revision_count,funding_source,land_acquisition_status,environment_clearance,forest_clearance,utility_shifting_status,tender_type,no_of_extensions,last_inspection_date,inspection_score,disputes_count,cost_overrun_flag,time_overrun_flag,cost_overrun_pct,time_overrun_pct,risk_score,risk_category
PROJ-706718,C/o NITB Imphal Airport,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Manipur,Imphal,Airport Authority of India [AAI],499.0,499.0,212.17,32,62,2021-11-01,2024-07-13,2026-12-31,53.0,42.52,Megha Engineering (MEIL),4,Externally Aided,Complete,Obtained,Pending,Partial,Limited,2,2026-04-09,6.0,0,0,1,0.0,93.75,37.9,Medium
PROJ-701121,Construction of New Domestic Terminal Building at Rajahmundry Airport.,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Andhra Pradesh,Rajahmundry,Airport Authority of India [AAI],347.0,347.0,189.48,31,44,2022-12-30,2025-08-13,2026-08-25,96.0,54.61,Larsen & Toubro Ltd,1,PPP,Complete,Pending,Pending,Complete,Open,5,2026-04-12,3.9,0,0,1,0.0,41.94,27.1,Low
PROJ-701101,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Bihar,Patna,Airport Authority of India [AAI],1217.0,1216.9,1203.48,92,95,2018-10-04,2026-05-31,2026-08-31,99.0,98.89,Ashoka Buildcon Ltd,1,Central,Complete,Obtained,Not Required,Complete,Single,0,2026-05-06,8.6,0,0,0,0.0,3.26,8.0,Low
PROJ-612788,Construction of New Domestic Terminal Building and Miscellaneous Works at Belagavi Airport.,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Karnataka,Belagavi,Airport Authority of India [AAI],322.0,322.0,240.99,32,39,2023-06-02,2026-02-01,2026-08-31,97.0,74.84,IRB Infrastructure Developers,4,Externally Aided,Complete,Pending,Pending,Not Started,Open,3,2026-03-01,6.7,1,0,1,0.0,21.88,22.5,Low
PROJ-612787,Construction of New Domestic Terminal Building and Miscellaneous works at Hubli Airport,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Sikkim,Gangtok,Airport Authority of India [AAI],320.0,320.0,169.11,32,40,2023-06-02,2026-01-21,2026-09-30,88.0,52.85,Patel Engineering,3,Central,Complete,Pending,Obtained,Not Started,Open,3,2026-01-07,4.6,3,0,1,0.0,25.0,23.2,Low
PROJ-612786,"Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport",Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Andhra Pradesh,Kadapa,Airport Authority of India [AAI],266.0,266.0,176.38,35,43,2023-03-10,2026-01-27,2026-09-30,80.0,66.31,IRCON International,3,Central,Not Started,Pending,Pending,Partial,Limited,2,2026-05-08,5.1,0,0,1,0.0,22.86,22.2,Low
PROJ-701128,Construction of New Integrated Passenger Terminal Building at Udaipur Airport,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Rajasthan,Udaipur,Airport Authority of India [AAI],887.0,887.0,587.22,33,39,2023-06-21,2026-03-10,2026-09-26,79.0,66.2,IRB Infrastructure Developers,3,Externally Aided,Not Started,Pending,Pending,Partial,Open,1,2026-01-25,5.4,1,0,1,0.0,18.18,20.3,Low
PROJ-701107,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Andhra Pradesh,Vijayawada,Airport Authority of India [AAI],612.0,824.28,572.99,27,77,2020-06-17,2022-09-04,2026-11-10,90.0,69.51,KNR Constructions Ltd,2,State,Partial,Pending,Not Required,Partial,Limited,3,2026-04-23,6.0,1,1,1,34.69,185.19,54.7,Medium
PROJ-701127,Construction of New Passenger Terminal Building for Domestic Operations at Jodhpur Airport.,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Rajasthan,Jodhpur,Airport Authority of India [AAI],480.0,480.0,348.2,46,48,2022-06-01,2026-03-31,2026-06-15,100.0,72.54,Ashoka Buildcon Ltd,0,Central,Complete,Obtained,Not Required,Complete,Open,0,2026-03-26,9.0,0,0,0,0.0,4.35,8.0,Low
PROJ-611047,"Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu.",Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Jammu and Kashmir,Jammu,Airport Authority of India [AAI],861.0,861.37,370.44,32,38,2023-10-10,2026-06-21,2026-11-30,58.0,43.01,Shapoorji Pallonji Co,4,State,Complete,Obtained,Not Required,Complete,Open,3,2026-05-08,4.0,2,0,1,0.04,18.75,17.7,Low
